,zipcode,Population,White,Black,Asian,Hispanic
10339,30467,12413.0,6664.0,5387.0,6.0,196.0
10340,30470,428.0,365.0,54.0,0.0,0.0
10341,30471,4893.0,3044.0,1597.0,31.0,201.0
10342,30473,2801.0,2381.0,344.0,21.0,200.0
10343,30474,16788.0,11214.0,4865.0,177.0,757.0
10344,30475,0.0,0.0,0.0,0.0,0.0
10345,30477,3400.0,848.0,2526.0,0.0,79.0
10346,30501,27169.0,18396.0,3909.0,674.0,11407.0
10347,30504,22659.0,16835.0,2187.0,707.0,10826.0
10348,30506,41560.0,39511.0,419.0,388.0,3458.0
10349,30507,29839.0,22154.0,3662.0,412.0,12490.0
10350,30510,8268.0,6948.0,704.0,180.0,1271.0
10351,30511,3337.0,3040.0,81.0,15.0,403.0
10352,30512,19192.0,18644.0,158.0,159.0,546.0
10353,30513,11216.0,10789.0,66.0,19.0,253.0
10354,30516,1585.0,1287.0,268.0,0.0,24.0
10355,30517,13374.0,12097.0,370.0,554.0,1198.0
10356,30518,45866.0,34453.0,5497.0,2101.0,9877.0
10357,30519,40881.0,30700.0,5931.0,2586.0,5267.0
10358,30520,4681.0,4157.0,300.0,15.0,255.0
10359,30521,4148.0,3781.0,240.0,41.0,121.0
10360,30522,767.0,767.0,0.0,0.0,0.0
10361,30523,12436.0,11871.0,213.0,80.0,625.0
10362,30525,7501.0,7116.0,67.0,131.0,628.0
10363,30527,3975.0,3727.0,0.0,0.0,0.0
10364,30528,22817.0,21748.0,643.0,31.0,692.0
10365,30529,10412.0,8610.0,1188.0,47.0,849.0
10366,30530,6947.0,6462.0,390.0,0.0,231.0
10367,30531,11445.0,9635.0,519.0,360.0,2989.0
10368,30533,26185.0,24390.0,766.0,139.0,1182.0
10369,30534,27968.0,26423.0,49.0,202.0,1455.0
10370,30535,7353.0,6614.0,234.0,369.0,153.0
10371,30536,8042.0,7827.0,50.0,105.0,269.0
10372,30537,1580.0,1407.0,11.0,0.0,354.0
