,Unnamed: 0,Unnamed: 0.1,precinct_number,Phone,st_address,city,state,full_address,lat,lng,zipcode,neighborhood
0,0,0,1,212-334-0611,16 Ericsson Place,New York,NY,"16 Ericsson Place, New York, NY",40.7202702,-74.0071976,10013,Greenwich Village and Soho
1,1,1,5,212-334-0711,19 Elizabeth Street,New York,NY,"19 Elizabeth Street, New York, NY",40.7161942,-73.9974699,10013,Greenwich Village and Soho
2,2,2,6,212-741-4811,233 West 10 Street,New York,NY,"233 West 10 Street, New York, NY",40.7342332,-74.00545319999999,10014,Greenwich Village and Soho
3,3,3,7,212-477-7311,19 1/2 Pitt Street,New York,NY,"19 1/2 Pitt Street, New York, NY",40.7163623,-73.9839341,10002,Lower East Side
4,4,4,9,212-477-7811,321 East 5 Street,New York,NY,"321 East 5 Street, New York, NY",40.644583,-73.97550009999999,10003,Lower East Side
5,5,5,10,212-741-8211,230 West 20th Street,New York,NY,"230 West 20th Street, New York, NY",40.7427116,-73.998643,10011,Chelsea and Clinton
6,6,6,13,212-477-7411,230 East 21st Street,New York,NY,"230 East 21st Street, New York, NY",40.7367881,-73.9829079,10010,Gramercy Park and Murray Hill
7,7,7,14,212-239-9811,357 West 35th Street,New York,NY,"357 West 35th Street, New York, NY",40.7538904,-73.9948941,10001,Chelsea and Clinton
8,8,8,17,212-826-3211,167 East 51st Street,New York,NY,"167 East 51st Street, New York, NY",40.7567621,-73.9707858,10022,Gramercy Park and Murray Hill
9,9,9,18,212-767-8400,306 West 54th Street,New York,NY,"306 West 54th Street, New York, NY",40.7649517,-73.9851379,10019,Chelsea and Clinton
10,10,10,19,212-452-0600,153 East 67th Street,New York,NY,"153 East 67th Street, New York, NY",40.7671478,-73.9637748,10065,Upper East Side
11,11,11,20,212-580-6411,120 West 82nd Street,New York,NY,"120 West 82nd Street, New York, NY",40.78418120000001,-73.9749862,10024,Upper West Side
12,12,12,22,212-570-4820,86th St & Transverse Road,New York,NY,"100 86th St Transverse, New York, NY",40.7780602,-73.9521931,10024,Upper West Side
13,13,13,23,212-860-6411,164 East 102nd Street,New York,NY,"164 East 102nd Street, New York, NY",40.7891814,-73.9472169,10029,East Harlem
14,14,14,24,212-678-1811,151 West 100th Street,New York,NY,"151 West 100th Street, New York, NY",40.796506,-73.9673459,10025,Upper West Side
15,15,15,25,212-860-6511,120 East 119th Street,New York,NY,"120 East 119th Street, New York, NY",40.8006969,-73.9411026,10035,East Harlem
16,16,16,26,212-678-1311,520 West 126th Street,New York,NY,"520 West 126th Street, New York, NY",40.8147406,-73.9564059,10027,Central Harlem
17,17,17,28,212-678-1611,2271-89 8th Avenue,New York,NY,"2271-89 Frederick Douglass Blvd, New York, NY",40.7521936,-73.993451,10027,Central Harlem
18,18,18,30,212-690-8811,451 West 151st Street,New York,NY,"451 West 151st Street, New York, NY",40.8287571,-73.9436513,10031,Inwood and Washington Heights
19,19,19,32,212-690-6311,250 West 135th Street,New York,NY,"250 West 135th Street, New York, NY",40.81573059999999,-73.9453589,10030,Central Harlem
20,20,20,33,212-927-3200,2207 Amsterdam Avenue,New York,NY,"2207 Amsterdam Avenue, New York, NY",40.840689,-73.9357066,10032,Inwood and Washington Heights
21,21,21,34,212-927-9711,4295 Broadway,New York,NY,"4295 Broadway, New York, NY",40.8515464,-73.93538509999999,10033,Inwood and Washington Heights
22,22,22,40,718-402-2270,257 Alexander Avenue,Bronx,NY,"257 Alexander Avenue, Bronx, NY",40.8103744,-73.9252934,10454,Hunts Point and Mott Haven
23,23,23,41,718-542-4771,1035 Longwood Avenue,Bronx,NY,"1035 Longwood Avenue, Bronx, NY",40.8163245,-73.8956563,10459,Hunts Point and Mott Haven
24,24,24,42,718-402-3887,830 Washington Avenue,Bronx,NY,"830 Washington Avenue, Bronx, NY",40.8225567,-73.9113843,10451,High Bridge and Morrisania
25,25,25,43,718-542-0888,900 Fteley Avenue,Bronx,NY,"900 Fteley Avenue, Bronx, NY",40.8230714,-73.86979389999999,10473,Southeast Bronx
